,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Price Category Code,Terminal,Boarding Area,Passenger Count,Adjusted Activity Type Code,Adjusted Passenger Count,Year,Month,Period
0,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,North America,Deplaned,Low Fare,Terminal 1,B,27271,Deplaned,27271,2005,July,2005-07-01
1,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,North America,Enplaned,Low Fare,Terminal 1,B,29131,Enplaned,29131,2005,July,2005-07-01
2,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,North America,Thru / Transit,Low Fare,Terminal 1,B,5415,Thru / Transit * 2,10830,2005,July,2005-07-01
3,Air Canada ,AC,Air Canada ,AC,International,North America,Deplaned,Other,Terminal 1,B,35156,Deplaned,35156,2005,July,2005-07-01
4,Air Canada ,AC,Air Canada ,AC,International,North America,Enplaned,Other,Terminal 1,B,34090,Enplaned,34090,2005,July,2005-07-01
5,Air China,CA,Air China,CA,International,Asia,Deplaned,Other,International,G,6263,Deplaned,6263,2005,July,2005-07-01
6,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,5500,Enplaned,5500,2005,July,2005-07-01
7,Air France,AF,Air France,AF,International,Europe,Deplaned,Other,International,A,12050,Deplaned,12050,2005,July,2005-07-01
8,Air France,AF,Air France,AF,International,Europe,Enplaned,Other,International,A,11638,Enplaned,11638,2005,July,2005-07-01
9,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia,Deplaned,Other,International,G,4998,Deplaned,4998,2005,July,2005-07-01
10,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia,Enplaned,Other,International,G,4962,Enplaned,4962,2005,July,2005-07-01
11,AirTran Airways,FL,AirTran Airways,FL,Domestic,North America,Deplaned,Low Fare,International,A,8055,Deplaned,8055,2005,July,2005-07-01
12,AirTran Airways,FL,AirTran Airways,FL,Domestic,North America,Enplaned,Low Fare,International,A,7984,Enplaned,7984,2005,July,2005-07-01
13,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,North America,Deplaned,Other,International,A,36641,Deplaned,36641,2005,July,2005-07-01
14,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,North America,Enplaned,Other,International,A,39379,Enplaned,39379,2005,July,2005-07-01
15,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,North America,Thru / Transit,Other,International,A,3678,Thru / Transit * 2,7356,2005,July,2005-07-01
16,Alaska Airlines,AS,Alaska Airlines,AS,International,North America,Deplaned,Other,International,A,7977,Deplaned,7977,2005,July,2005-07-01
17,Alaska Airlines,AS,Alaska Airlines,AS,International,North America,Enplaned,Other,International,A,8837,Enplaned,8837,2005,July,2005-07-01
18,Alaska Airlines,AS,Alaska Airlines,AS,International,South America,Deplaned,Other,International,A,6969,Deplaned,6969,2005,July,2005-07-01
19,Alaska Airlines,AS,Alaska Airlines,AS,International,South America,Enplaned,Other,International,A,10046,Enplaned,10046,2005,July,2005-07-01
20,Alaska Airlines,AS,Alaska Airlines,AS,International,South America,Thru / Transit,Other,International,A,2266,Thru / Transit * 2,4532,2005,July,2005-07-01
21,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Deplaned,Other,International,G,6545,Deplaned,6545,2005,July,2005-07-01
22,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Enplaned,Other,International,G,6094,Enplaned,6094,2005,July,2005-07-01
23,American Airlines,AA,American Airlines,AA,Domestic,North America,Deplaned,Other,Terminal 3,E,166577,Deplaned,166577,2005,July,2005-07-01
24,American Airlines,AA,American Airlines,AA,Domestic,North America,Enplaned,Other,Terminal 3,E,160890,Enplaned,160890,2005,July,2005-07-01
25,American Eagle Airlines,MQ,American Airlines,AA,Domestic,North America,Deplaned,Other,Terminal 3,E,5493,Deplaned,5493,2005,July,2005-07-01
26,American Eagle Airlines,MQ,American Airlines,AA,Domestic,North America,Enplaned,Other,Terminal 3,E,5213,Enplaned,5213,2005,July,2005-07-01
27,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Other,International,A,5041,Deplaned,5041,2005,July,2005-07-01
28,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Enplaned,Other,International,A,4744,Enplaned,4744,2005,July,2005-07-01
29,Atlantic Southeast Airlines,EV,Delta Air Lines,DL,Domestic,North America,Deplaned,Other,Terminal 1,C,1552,Deplaned,1552,2005,July,2005-07-01
30,Atlantic Southeast Airlines,EV,Delta Air Lines,DL,Domestic,North America,Enplaned,Other,Terminal 1,C,1484,Enplaned,1484,2005,July,2005-07-01
31,BelAir Airlines,4T,BelAir Airlines,4T,International,Europe,Deplaned,Other,International,A,325,Deplaned,325,2005,July,2005-07-01
32,BelAir Airlines,4T,BelAir Airlines,4T,International,Europe,Enplaned,Other,International,A,545,Enplaned,545,2005,July,2005-07-01
33,British Airways,BA,British Airways,BA,International,Europe,Deplaned,Other,International,A,20632,Deplaned,20632,2005,July,2005-07-01
34,British Airways,BA,British Airways,BA,International,Europe,Enplaned,Other,International,A,21686,Enplaned,21686,2005,July,2005-07-01
35,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Deplaned,Other,International,A,11010,Deplaned,11010,2005,July,2005-07-01
36,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Enplaned,Other,International,A,9628,Enplaned,9628,2005,July,2005-07-01
37,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Other,International,A,13638,Deplaned,13638,2005,July,2005-07-01
38,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Other,International,A,11255,Enplaned,11255,2005,July,2005-07-01
39,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,North America,Deplaned,Other,Terminal 1,C,97510,Deplaned,97510,2005,July,2005-07-01
40,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,North America,Enplaned,Other,Terminal 1,C,93791,Enplaned,93791,2005,July,2005-07-01
41,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Other,International,G,14142,Deplaned,14142,2005,July,2005-07-01
42,EVA Airways,BR,EVA Airways,BR,International,Asia,Enplaned,Other,International,G,12132,Enplaned,12132,2005,July,2005-07-01
43,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,North America,Deplaned,Low Fare,Terminal 1,B,19234,Deplaned,19234,2005,July,2005-07-01
44,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,North America,Enplaned,Low Fare,Terminal 1,B,18368,Enplaned,18368,2005,July,2005-07-01
45,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,North America,Deplaned,Other,Terminal 1,C,7579,Deplaned,7579,2005,July,2005-07-01
46,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,North America,Enplaned,Other,Terminal 1,C,7658,Enplaned,7658,2005,July,2005-07-01
47,Horizon Air ,QX,Alaska Airlines,AS,Domestic,North America,Deplaned,Other,Terminal 1,B,5284,Deplaned,5284,2005,July,2005-07-01
48,Horizon Air ,QX,Alaska Airlines,AS,Domestic,North America,Enplaned,Other,Terminal 1,B,5257,Enplaned,5257,2005,July,2005-07-01
49,Icelandair,FI,Icelandair,FI,International,Europe,Deplaned,Other,International,A,4540,Deplaned,4540,2005,July,2005-07-01
50,Icelandair,FI,Icelandair,FI,International,Europe,Enplaned,Other,International,A,4341,Enplaned,4341,2005,July,2005-07-01
51,Independence Air,DH,Independence Air,DH,Domestic,North America,Deplaned,Low Fare,International,A,10843,Deplaned,10843,2005,July,2005-07-01
52,Independence Air,DH,Independence Air,DH,Domestic,North America,Enplaned,Low Fare,International,A,10967,Enplaned,10967,2005,July,2005-07-01
53,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Other,International,A,9195,Deplaned,9195,2005,July,2005-07-01
54,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Enplaned,Other,International,A,9086,Enplaned,9086,2005,July,2005-07-01
55,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Deplaned,Other,International,A,9978,Deplaned,9978,2005,July,2005-07-01
56,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Enplaned,Other,International,A,9587,Enplaned,9587,2005,July,2005-07-01
57,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Other,International,A,6153,Deplaned,6153,2005,July,2005-07-01
58,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Enplaned,Other,International,A,5646,Enplaned,5646,2005,July,2005-07-01
59,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Deplaned,Other,International,G,22389,Deplaned,22389,2005,July,2005-07-01
60,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Enplaned,Other,International,G,20511,Enplaned,20511,2005,July,2005-07-01
61,Mesa Airlines,YV,US Airways,US ,Domestic,North America,Deplaned,Other,Terminal 1,B,2636,Deplaned,2636,2005,July,2005-07-01
62,Mesa Airlines,YV,US Airways,US ,Domestic,North America,Enplaned,Other,Terminal 1,B,2535,Enplaned,2535,2005,July,2005-07-01
63,Mexicana Airlines,MX,Mexicana Airlines,MX,International,South America,Deplaned,Other,International,G,7751,Deplaned,7751,2005,July,2005-07-01
64,Mexicana Airlines,MX,Mexicana Airlines,MX,International,South America,Enplaned,Other,International,G,7845,Enplaned,7845,2005,July,2005-07-01
65,Midwest Airlines,YX,Midwest Airlines,YX,Domestic,North America,Deplaned,Other,Terminal 1,A,1797,Deplaned,1797,2005,July,2005-07-01
66,Midwest Airlines,YX,Midwest Airlines,YX,Domestic,North America,Enplaned,Other,Terminal 1,A,3238,Enplaned,3238,2005,July,2005-07-01
67,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,North America,Deplaned,Other,Terminal 1,C,64231,Deplaned,64231,2005,July,2005-07-01
68,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,North America,Enplaned,Other,Terminal 1,C,62049,Enplaned,62049,2005,July,2005-07-01
69,Northwest Airlines,NW,Northwest Airlines,NW,International,Asia,Deplaned,Other,International,A,7229,Deplaned,7229,2005,July,2005-07-01
70,Northwest Airlines,NW,Northwest Airlines,NW,International,Asia,Enplaned,Other,International,A,6554,Enplaned,6554,2005,July,2005-07-01
71,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Deplaned,Other,International,A,12828,Deplaned,12828,2005,July,2005-07-01
72,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Enplaned,Other,International,A,10269,Enplaned,10269,2005,July,2005-07-01
73,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Deplaned,Other,International,G,19211,Deplaned,19211,2005,July,2005-07-01
74,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Enplaned,Other,International,G,17462,Enplaned,17462,2005,July,2005-07-01
75,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,North America,Deplaned,Other,Terminal 1,C,7262,Deplaned,7262,2005,July,2005-07-01
76,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,North America,Enplaned,Other,Terminal 1,C,6586,Enplaned,6586,2005,July,2005-07-01
77,SkyWest Airlines,OO,United Airlines,UA,Domestic,North America,Deplaned,Other,Terminal 3,F,103279,Deplaned,103279,2005,July,2005-07-01
78,SkyWest Airlines,OO,United Airlines,UA,Domestic,North America,Enplaned,Other,Terminal 3,F,102023,Enplaned,102023,2005,July,2005-07-01
79,SkyWest Airlines,OO,United Airlines,UA,International,North America,Deplaned,Other,Terminal 3,F,3688,Deplaned,3688,2005,July,2005-07-01
80,SkyWest Airlines,OO,United Airlines,UA,International,North America,Enplaned,Other,Terminal 3,F,3633,Enplaned,3633,2005,July,2005-07-01
81,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,North America,Deplaned,Low Fare,Terminal 1,B,4827,Deplaned,4827,2005,July,2005-07-01
82,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,North America,Enplaned,Low Fare,Terminal 1,B,4784,Enplaned,4784,2005,July,2005-07-01
83,TACA,TA,TACA,TA,International,South America,Deplaned,Other,International,G,6324,Deplaned,6324,2005,July,2005-07-01
84,TACA,TA,TACA,TA,International,South America,Enplaned,Other,International,G,7031,Enplaned,7031,2005,July,2005-07-01
85,US Airways,US ,US Airways,US ,Domestic,North America,Deplaned,Other,Terminal 1,A,46042,Deplaned,46042,2005,July,2005-07-01
86,US Airways,US ,US Airways,US ,Domestic,North America,Enplaned,Other,Terminal 1,A,45553,Enplaned,45553,2005,July,2005-07-01
87,US Airways,US ,US Airways,US ,Domestic,North America,Deplaned,Low Fare,Terminal 1,B,38951,Deplaned,38951,2005,July,2005-07-01
88,US Airways,US ,US Airways,US ,Domestic,North America,Enplaned,Low Fare,Terminal 1,B,37848,Enplaned,37848,2005,July,2005-07-01
89,United Airlines,UA,United Airlines,UA,Domestic,North America,Deplaned,Other,Terminal 1,B,62178,Deplaned,62178,2005,July,2005-07-01
90,United Airlines,UA,United Airlines,UA,Domestic,North America,Enplaned,Other,Terminal 1,B,60939,Enplaned,60939,2005,July,2005-07-01
91,United Airlines,UA,United Airlines,UA,Domestic,North America,Deplaned,Low Fare,Terminal 3,E,58767,Deplaned,58767,2005,July,2005-07-01
92,United Airlines,UA,United Airlines,UA,Domestic,North America,Enplaned,Low Fare,Terminal 3,E,58277,Enplaned,58277,2005,July,2005-07-01
93,United Airlines,UA,United Airlines,UA,Domestic,North America,Deplaned,Other,Terminal 3,F,443656,Deplaned,443656,2005,July,2005-07-01
94,United Airlines,UA,United Airlines,UA,Domestic,North America,Enplaned,Other,Terminal 3,F,421802,Enplaned,421802,2005,July,2005-07-01
95,United Airlines,UA,United Airlines,UA,Domestic,North America,Thru / Transit,Other,Terminal 3,F,11388,Thru / Transit * 2,22776,2005,July,2005-07-01
96,United Airlines,UA,United Airlines,UA,International,Asia,Deplaned,Other,International,G,77658,Deplaned,77658,2005,July,2005-07-01
97,United Airlines,UA,United Airlines,UA,International,Asia,Enplaned,Other,International,G,68278,Enplaned,68278,2005,July,2005-07-01
98,United Airlines,UA,United Airlines,UA,International,Asia,Thru / Transit,Other,International,G,3953,Thru / Transit * 2,7906,2005,July,2005-07-01
99,United Airlines,UA,United Airlines,UA,International,Australia,Deplaned,Other,International,G,8603,Deplaned,8603,2005,July,2005-07-01
100,United Airlines,UA,United Airlines,UA,International,Australia,Enplaned,Other,International,G,8234,Enplaned,8234,2005,July,2005-07-01
101,United Airlines,UA,United Airlines,UA,International,Australia,Thru / Transit,Other,International,G,1385,Thru / Transit * 2,2770,2005,July,2005-07-01
102,United Airlines,UA,United Airlines,UA,International,North America,Deplaned,Other,Terminal 3,F,12874,Deplaned,12874,2005,July,2005-07-01
103,United Airlines,UA,United Airlines,UA,International,North America,Enplaned,Other,Terminal 3,F,12085,Enplaned,12085,2005,July,2005-07-01
104,United Airlines,UA,United Airlines,UA,International,North America,Thru / Transit,Other,Terminal 3,F,10,Thru / Transit * 2,20,2005,July,2005-07-01
105,United Airlines,UA,United Airlines,UA,International,Europe,Deplaned,Other,International,G,30796,Deplaned,30796,2005,July,2005-07-01
106,United Airlines,UA,United Airlines,UA,International,Europe,Enplaned,Other,International,G,29283,Enplaned,29283,2005,July,2005-07-01
107,United Airlines,UA,United Airlines,UA,International,Europe,Thru / Transit,Other,International,G,888,Thru / Transit * 2,1776,2005,July,2005-07-01
108,United Airlines,UA,United Airlines,UA,International,South America,Deplaned,Other,International,G,9537,Deplaned,9537,2005,July,2005-07-01
109,United Airlines,UA,United Airlines,UA,International,South America,Enplaned,Other,International,G,9672,Enplaned,9672,2005,July,2005-07-01
110,United Airlines,UA,United Airlines,UA,International,South America,Thru / Transit,Other,International,G,45,Thru / Transit * 2,90,2005,July,2005-07-01
111,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Deplaned,Other,International,A,11684,Deplaned,11684,2005,July,2005-07-01
112,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Enplaned,Other,International,A,10771,Enplaned,10771,2005,July,2005-07-01
113,WestJet Airlines,WS,WestJet Airlines,WS,International,North America,Deplaned,Other,International,A,2480,Deplaned,2480,2005,July,2005-07-01
114,WestJet Airlines,WS,WestJet Airlines,WS,International,North America,Enplaned,Other,International,A,2211,Enplaned,2211,2005,July,2005-07-01
115,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,North America,Deplaned,Low Fare,Terminal 1,B,27472,Deplaned,27472,2005,August,2005-08-01
116,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,North America,Enplaned,Low Fare,Terminal 1,B,26535,Enplaned,26535,2005,August,2005-08-01
117,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,North America,Thru / Transit,Low Fare,Terminal 1,B,5712,Thru / Transit * 2,11424,2005,August,2005-08-01
118,Air Canada ,AC,Air Canada ,AC,International,North America,Deplaned,Other,Terminal 1,B,34878,Deplaned,34878,2005,August,2005-08-01
119,Air Canada ,AC,Air Canada ,AC,International,North America,Enplaned,Other,Terminal 1,B,34105,Enplaned,34105,2005,August,2005-08-01
120,Air China,CA,Air China,CA,International,Asia,Deplaned,Other,International,G,4204,Deplaned,4204,2005,August,2005-08-01
121,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,3923,Enplaned,3923,2005,August,2005-08-01
122,Air France,AF,Air France,AF,International,Europe,Deplaned,Other,International,A,11230,Deplaned,11230,2005,August,2005-08-01
123,Air France,AF,Air France,AF,International,Europe,Enplaned,Other,International,A,11731,Enplaned,11731,2005,August,2005-08-01
124,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia,Deplaned,Other,International,G,4672,Deplaned,4672,2005,August,2005-08-01
125,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia,Enplaned,Other,International,G,4006,Enplaned,4006,2005,August,2005-08-01
126,AirTran Airways,FL,AirTran Airways,FL,Domestic,North America,Deplaned,Low Fare,International,A,7796,Deplaned,7796,2005,August,2005-08-01
127,AirTran Airways,FL,AirTran Airways,FL,Domestic,North America,Enplaned,Low Fare,International,A,7737,Enplaned,7737,2005,August,2005-08-01
128,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,North America,Deplaned,Other,International,A,40431,Deplaned,40431,2005,August,2005-08-01
129,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,North America,Enplaned,Other,International,A,39595,Enplaned,39595,2005,August,2005-08-01
130,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,North America,Thru / Transit,Other,International,A,1902,Thru / Transit * 2,3804,2005,August,2005-08-01
131,Alaska Airlines,AS,Alaska Airlines,AS,International,North America,Deplaned,Other,International,A,8901,Deplaned,8901,2005,August,2005-08-01
132,Alaska Airlines,AS,Alaska Airlines,AS,International,North America,Enplaned,Other,International,A,9020,Enplaned,9020,2005,August,2005-08-01
133,Alaska Airlines,AS,Alaska Airlines,AS,International,South America,Deplaned,Other,International,A,7541,Deplaned,7541,2005,August,2005-08-01
134,Alaska Airlines,AS,Alaska Airlines,AS,International,South America,Enplaned,Other,International,A,9333,Enplaned,9333,2005,August,2005-08-01
135,Alaska Airlines,AS,Alaska Airlines,AS,International,South America,Thru / Transit,Other,International,A,1902,Thru / Transit * 2,3804,2005,August,2005-08-01
136,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Deplaned,Other,International,G,6739,Deplaned,6739,2005,August,2005-08-01
137,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Enplaned,Other,International,G,5966,Enplaned,5966,2005,August,2005-08-01
138,American Airlines,AA,American Airlines,AA,Domestic,North America,Deplaned,Other,Terminal 3,E,162064,Deplaned,162064,2005,August,2005-08-01
139,American Airlines,AA,American Airlines,AA,Domestic,North America,Enplaned,Other,Terminal 3,E,157700,Enplaned,157700,2005,August,2005-08-01
140,American Eagle Airlines,MQ,American Airlines,AA,Domestic,North America,Deplaned,Other,Terminal 3,E,5233,Deplaned,5233,2005,August,2005-08-01
141,American Eagle Airlines,MQ,American Airlines,AA,Domestic,North America,Enplaned,Other,Terminal 3,E,4866,Enplaned,4866,2005,August,2005-08-01
142,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Other,International,A,4099,Deplaned,4099,2005,August,2005-08-01
143,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Enplaned,Other,International,A,3376,Enplaned,3376,2005,August,2005-08-01
144,Atlantic Southeast Airlines,EV,Delta Air Lines,DL,Domestic,North America,Deplaned,Other,Terminal 1,C,1735,Deplaned,1735,2005,August,2005-08-01
145,Atlantic Southeast Airlines,EV,Delta Air Lines,DL,Domestic,North America,Enplaned,Other,Terminal 1,C,1560,Enplaned,1560,2005,August,2005-08-01
146,BelAir Airlines,4T,BelAir Airlines,4T,International,Europe,Deplaned,Other,International,A,353,Deplaned,353,2005,August,2005-08-01
147,BelAir Airlines,4T,BelAir Airlines,4T,International,Europe,Enplaned,Other,International,A,751,Enplaned,751,2005,August,2005-08-01
148,Boeing Company,,Boeing Company,,Domestic,North America,Deplaned,Other,Other,Other,18,Deplaned,18,2005,August,2005-08-01
149,British Airways,BA,British Airways,BA,International,Europe,Deplaned,Other,International,A,20312,Deplaned,20312,2005,August,2005-08-01
150,British Airways,BA,British Airways,BA,International,Europe,Enplaned,Other,International,A,20084,Enplaned,20084,2005,August,2005-08-01
151,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Deplaned,Other,International,A,11753,Deplaned,11753,2005,August,2005-08-01
152,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Enplaned,Other,International,A,9050,Enplaned,9050,2005,August,2005-08-01
153,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Other,International,A,14610,Deplaned,14610,2005,August,2005-08-01
154,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Other,International,A,10972,Enplaned,10972,2005,August,2005-08-01
155,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,North America,Deplaned,Other,Terminal 1,C,97343,Deplaned,97343,2005,August,2005-08-01
156,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,North America,Enplaned,Other,Terminal 1,C,97160,Enplaned,97160,2005,August,2005-08-01
157,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Other,International,G,13524,Deplaned,13524,2005,August,2005-08-01
158,EVA Airways,BR,EVA Airways,BR,International,Asia,Enplaned,Other,International,G,11950,Enplaned,11950,2005,August,2005-08-01
159,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,North America,Deplaned,Low Fare,Terminal 1,B,17109,Deplaned,17109,2005,August,2005-08-01
160,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,North America,Enplaned,Low Fare,Terminal 1,B,17186,Enplaned,17186,2005,August,2005-08-01
161,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,North America,Deplaned,Other,Terminal 1,C,7923,Deplaned,7923,2005,August,2005-08-01
162,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,North America,Enplaned,Other,Terminal 1,C,7751,Enplaned,7751,2005,August,2005-08-01
163,Horizon Air ,QX,Alaska Airlines,AS,Domestic,North America,Deplaned,Other,Terminal 1,B,5572,Deplaned,5572,2005,August,2005-08-01
164,Horizon Air ,QX,Alaska Airlines,AS,Domestic,North America,Enplaned,Other,Terminal 1,B,5268,Enplaned,5268,2005,August,2005-08-01
165,Icelandair,FI,Icelandair,FI,International,Europe,Deplaned,Other,International,A,4691,Deplaned,4691,2005,August,2005-08-01
166,Icelandair,FI,Icelandair,FI,International,Europe,Enplaned,Other,International,A,4355,Enplaned,4355,2005,August,2005-08-01
167,Independence Air,DH,Independence Air,DH,Domestic,North America,Deplaned,Low Fare,International,A,9191,Deplaned,9191,2005,August,2005-08-01
168,Independence Air,DH,Independence Air,DH,Domestic,North America,Enplaned,Low Fare,International,A,9850,Enplaned,9850,2005,August,2005-08-01
169,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Other,International,A,9296,Deplaned,9296,2005,August,2005-08-01
170,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Enplaned,Other,International,A,7913,Enplaned,7913,2005,August,2005-08-01
171,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Deplaned,Other,International,A,9666,Deplaned,9666,2005,August,2005-08-01
172,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Enplaned,Other,International,A,9881,Enplaned,9881,2005,August,2005-08-01
173,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Other,International,A,8856,Deplaned,8856,2005,August,2005-08-01
174,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Enplaned,Other,International,A,7164,Enplaned,7164,2005,August,2005-08-01
175,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Deplaned,Other,International,G,21512,Deplaned,21512,2005,August,2005-08-01
176,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Enplaned,Other,International,G,21881,Enplaned,21881,2005,August,2005-08-01
177,Mesa Airlines,YV,US Airways,US ,Domestic,North America,Deplaned,Other,Terminal 1,B,2725,Deplaned,2725,2005,August,2005-08-01
178,Mesa Airlines,YV,US Airways,US ,Domestic,North America,Enplaned,Other,Terminal 1,B,2546,Enplaned,2546,2005,August,2005-08-01
179,Mexicana Airlines,MX,Mexicana Airlines,MX,International,South America,Deplaned,Other,International,G,7156,Deplaned,7156,2005,August,2005-08-01
180,Mexicana Airlines,MX,Mexicana Airlines,MX,International,South America,Enplaned,Other,International,G,5946,Enplaned,5946,2005,August,2005-08-01
181,Midwest Airlines,YX,Midwest Airlines,YX,Domestic,North America,Deplaned,Other,Terminal 1,A,1552,Deplaned,1552,2005,August,2005-08-01
182,Midwest Airlines,YX,Midwest Airlines,YX,Domestic,North America,Enplaned,Other,Terminal 1,A,3382,Enplaned,3382,2005,August,2005-08-01
183,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,North America,Deplaned,Other,Terminal 1,C,56501,Deplaned,56501,2005,August,2005-08-01
184,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,North America,Enplaned,Other,Terminal 1,C,56674,Enplaned,56674,2005,August,2005-08-01
185,Northwest Airlines,NW,Northwest Airlines,NW,International,Asia,Deplaned,Other,International,A,7107,Deplaned,7107,2005,August,2005-08-01
186,Northwest Airlines,NW,Northwest Airlines,NW,International,Asia,Enplaned,Other,International,A,6522,Enplaned,6522,2005,August,2005-08-01
187,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Deplaned,Other,International,A,12856,Deplaned,12856,2005,August,2005-08-01
188,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Enplaned,Other,International,A,8718,Enplaned,8718,2005,August,2005-08-01
189,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Deplaned,Other,International,G,19192,Deplaned,19192,2005,August,2005-08-01
190,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Enplaned,Other,International,G,17118,Enplaned,17118,2005,August,2005-08-01
191,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,North America,Deplaned,Other,Terminal 1,C,7052,Deplaned,7052,2005,August,2005-08-01
192,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,North America,Enplaned,Other,Terminal 1,C,6652,Enplaned,6652,2005,August,2005-08-01
193,SkyWest Airlines,OO,United Airlines,UA,Domestic,North America,Deplaned,Other,Terminal 3,F,102899,Deplaned,102899,2005,August,2005-08-01
194,SkyWest Airlines,OO,United Airlines,UA,Domestic,North America,Enplaned,Other,Terminal 3,F,103188,Enplaned,103188,2005,August,2005-08-01
195,SkyWest Airlines,OO,United Airlines,UA,International,North America,Deplaned,Other,Terminal 3,F,3672,Deplaned,3672,2005,August,2005-08-01
